# m1_source m2_source a1 a2 costilt1 costilt2 ecc
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
2.891237324562294475e+01 8.957128590909768207e+00 5.586873230242695998e-01 8.349195575707090144e-01 3.828381864542428348e-01 9.910068297918989133e-01 0.1
